year,anthro_erf,ghg_erf,aerosol_erf,solar_erf,volcanic_erf,ch4_erf,ods_erf
1995,1.261409392161163,2.4255640697249925,-1.3556290692898698,-0.0246778982979786,0.0853077211063841,0.497903854249207,0.3328756082129718
1996,1.315296242507969,2.4611568337203504,-1.340073152965772,-0.0368775565011036,0.1456922256034353,0.4986185189505008,0.336789964372961
1997,1.3292404706126568,2.486629280317224,-1.3619604763240496,-0.0204657400948536,0.1669024887374156,0.5002584471131637,0.3383366785751913
1998,1.41097790613801,2.536693714147837,-1.3351584579189222,0.0264296212332713,0.1710925825750941,0.503651455540087,0.3409217659590844
1999,1.4989184052870614,2.5737019126667064,-1.280513460635886,0.0609381173270213,0.1732418502793201,0.5066876746195581,0.3427549352260031
2000,1.524900412587795,2.598574154073188,-1.2807740507028411,0.0860394601004588,0.1745824169479796,0.5065580540504223,0.3447390134650295
2001,1.5518554532474127,2.626063086216927,-1.2859286190324863,0.0754778634207713,0.170843036204625,0.5059436954643809,0.3467244219388831
2002,1.5960857836844051,2.663575655012788,-1.287673645521211,0.0807664620535838,0.1765222575627753,0.5068560316177897,0.3482861608245038
2003,1.616701543811226,2.7078486622174167,-1.316550336466554,0.0193937569754588,0.165150043379564,0.5086197241673542,0.3495718731325265
2004,1.613466995065466,2.735339897148223,-1.3549638046878174,-0.0073924490792286,0.1719032893302405,0.5088345958918665,0.351006111547857
2005,1.6206864960894969,2.768182444693492,-1.3874849013208492,-0.0338510428292286,0.1498078532163539,0.5084557645597425,0.3528363606711539
2006,1.6495311685562424,2.8039720115929434,-1.398719071132926,-0.0398572684151661,0.1245541128442177,0.5084363511296944,0.3545533048880122
2007,1.6974557163299178,2.8338511938648123,-1.3880672023807843,-0.0513705008370411,0.1214193886258194,0.5105412967611328,0.3563114412666959
2008,1.759227392536397,2.8741242207324635,-1.3675073599603274,-0.0538509940011036,0.133277034444783,0.5141515373515317,0.3583243386695369
2009,1.8276522808346656,2.901761631294034,-1.32921970175043,-0.0539133963448536,0.1066842123978326,0.5155337128635117,0.3595833966462236
2010,1.8879111703957776,2.944538991258163,-1.3219763477923938,-0.0317605643136036,0.1379875550624469,0.51770091485193,0.3615614445596934
2011,1.9203690106385316,2.984106554379053,-1.330261693728687,0.0026075265067088,0.1090569133516887,0.5196518067921017,0.3633760052067694
2012,1.9709748704784935,3.019146149834161,-1.320119634055032,0.0169756661551463,0.1386751812529304,0.5204466574226608,0.3647600487114896
2013,2.0312107797611154,3.066708428224243,-1.308952665478063,0.0252439767020213,0.157671543128837,0.5232021938103544,0.3674163016611372
2014,2.070896764394192,3.1008401011604785,-1.3085801066076193,0.0351347481863963,0.1397783633433768,0.5265418365834924,0.3686561614012978
2015,2.2236474556144907,3.1446174437330794,-1.2017089091707127,0.0052284249442088,0.1258005270090391,0.5304662334481836,0.3703677600111982
2016,2.309250979172558,3.1983118266721244,-1.1685449460834547,-0.0315560943389039,0.1118226906747014,0.5340821749113692,0.3724333365617009
2017,2.3937481023521467,3.2461282567492993,-1.134655266493515,-0.0414354493333894,0.0978448543403637,0.5424346800325657,0.3722299330716847
2018,2.4770927394773343,3.2946676653455285,-1.1,-0.0454364226183952,0.083867018006026,0.5473684827009329,0.3730425882444601
2019,2.560141233155067,3.342898207112713,-1.064535897489989,-0.0461417400680885,0.0698891816716884,0.5519552117810871,0.3740774810374404
2020,2.643540928489481,3.3907814440944377,-1.0282159382536114,-0.0409375024299597,0.0559113453373507,0.5562221295339801,0.3751830662233345
2021,2.6929799971833543,3.438421366862695,-1.0279036539205508,-0.0044116258905654,0.041933509003013,0.560198388510424,0.3763920101706
2022,2.7418107850550832,3.485555679755591,-1.027590670825928,0.0354241924822123,0.0279556726686753,0.5639571241122433,0.3773525451863407
2023,2.7898893066295813,3.532001597342939,-1.0272769878242554,0.0580127296450827,0.0139778363343376,0.5675593959401145,0.3777976764072339
2024,2.8373990492023515,3.577941537164044,-1.026962603767227,0.0668683859617568,0.0,0.5710175767166676,0.37788138913738
2025,2.8844447937665407,3.623477149660376,-1.0266475175037093,0.0448233959148743,0.0,0.574343888836686,0.3776942593530659
