year,anthro_erf,ghg_erf,aerosol_erf,solar_erf,volcanic_erf,ch4_erf,ods_erf
1970,0.1660988855347334,1.393994930844086,-1.3584023536616492,0.0545418770926463,0.07891007914399,0.3552916138823189,0.077591861606606
1971,0.1982415580133253,1.423626909427266,-1.3619136486653345,0.0258680001395213,-0.0321334103941431,0.3641228240225322,0.0863706881866002
1972,0.2279471686373307,1.476179242471345,-1.3917381446380477,0.0240895333426463,0.0491196539365241,0.3720755588327177,0.0959400719925086
1973,0.253707648661516,1.5381060970834168,-1.430471197092344,-0.0046779471261036,0.1552288305825108,0.3779741486197062,0.1066161719706776
1974,0.304505417997992,1.5715573533362472,-1.416257202019431,-0.0187964773995411,0.1027906612139681,0.383715614590572,0.1184217599599568
1975,0.3479767184476778,1.5929530691812523,-1.3976649626497817,-0.0184844656807911,-0.2049690165444722,0.3904251994080011,0.1304266990506987
1976,0.3397870913621633,1.6259215638866704,-1.442450151720699,-0.0231334402901661,0.0427959312797078,0.3978507419255168,0.1422095170889983
1977,0.3851376791232733,1.6778646924983591,-1.4518301509316007,0.0069756905692088,0.1284540133197346,0.4057363876612648,0.1539791953889851
1978,0.4338258553549485,1.7271816412524161,-1.4560209438675689,0.0530910226004588,0.1506635484397897,0.4138363634388073,0.1655448203300723
1979,0.4673963158543061,1.7746027821739905,-1.4723387320078285,0.0918896798270213,0.1473114304822424,0.4219032454375995,0.1763492033362652
1980,0.5268897851602243,1.8295074748076525,-1.4682877234693006,0.0842453927176463,0.109190156973947,0.4297087730151266,0.1864987092732767
1981,0.6002802914270604,1.8720057000721126,-1.4377512630988334,0.0867882882254588,0.0757372745424995,0.4370184267537798,0.1972633386375875
1982,0.6460203654392451,1.9006933902329746,-1.425689502978394,0.0434498604910838,-0.1564158400874098,0.4436112224369888,0.2076955999501606
1983,0.7088276619691773,1.945883161018986,-1.4057916317596075,0.0416245919363963,-0.6775945263802521,0.4492700705028385,0.2183004604447231
1984,0.7452125284393578,1.9911913644532508,-1.4182218748940552,-0.0093581229073536,-0.2289078353791943,0.4536752084829981,0.2283167935870481
1985,0.7877162015358408,2.03466475738054,-1.4211053282679786,-0.0265811697823536,-0.0117157005592694,0.4586813837116501,0.2407063279970496
1986,0.8308830969989378,2.0776694155988715,-1.42233580302492,-0.0244594900948536,-0.00014658150072,0.4638538047391377,0.2525594785708956
1987,0.8652450851804692,2.130292771242007,-1.4425980706189097,-0.0135858816964161,0.0621697560996303,0.4698353530175409,0.2662427825007066
1988,0.9225294201732,2.1933480645483736,-1.4499494580363097,0.0314374093192088,0.1102479335964212,0.4738780477539239,0.2821414257231122
1989,0.9691415235133723,2.241417936432391,-1.450077814664299,0.0932937325613963,0.1426154615469762,0.4784843501587028,0.2957892950720567
1990,1.0107461436345029,2.2782060928513284,-1.447133753837217,0.0818585030692088,0.1407953117155024,0.4831213697351021,0.3063822261776108
1991,1.0483392900969322,2.313932613663365,-1.4502752271798849,0.0801424386160838,-0.4148185776434353,0.4878179203680493,0.3152355305395007
1992,1.1137590333259948,2.3410089232111195,-1.4060912072270229,0.0593780587332713,-1.6835767484157795,0.4920569442870746,0.3225853145001169
1993,1.1477544817056071,2.3582595813981535,-1.392996399856985,0.0105170235770213,-0.8170844043492784,0.4932032576640972,0.3264457204343361
1994,1.1958325460890291,2.3869716083242127,-1.380699374293212,-0.0190616873604786,-0.0813850082344821,0.4953359499142202,0.3297185233313829
