year,actual,predicted,base_prediction,ar_correction,ar_lag,model,enso_lag,volcanic_lag,solar_lag,train_r2,train_aic,n_eff_ar1,rho1
2011,0.61,0.6442327283691363,0.6442327283691363,0.0,0,foster_rahmstorf,,,,,,,
2012,0.64,0.7243367198176813,0.7243367198176813,0.0,0,foster_rahmstorf,,,,,,,
2013,0.67,0.7317781718673612,0.7317781718673612,0.0,0,foster_rahmstorf,,,,,,,
2014,0.75,0.7638228036805678,0.7638228036805678,0.0,0,foster_rahmstorf,,,,,,,
2015,0.89,0.833247010783887,0.833247010783887,0.0,0,foster_rahmstorf,,,,,,,
2016,1.01,0.7968616194343463,0.7968616194343463,0.0,0,foster_rahmstorf,,,,,,,
2017,0.91,0.7730079569810404,0.7730079569810404,0.0,0,foster_rahmstorf,,,,,,,
2018,0.85,0.8182834687780719,0.8182834687780719,0.0,0,foster_rahmstorf,,,,,,,
2019,0.98,0.8778600502346691,0.8778600502346691,0.0,0,foster_rahmstorf,,,,,,,
2020,1.01,0.8446117207987331,0.8446117207987331,0.0,0,foster_rahmstorf,,,,,,,
2021,0.85,0.8523852197243438,0.8523852197243438,0.0,0,foster_rahmstorf,,,,,,,
2022,0.89,0.858684188792371,0.858684188792371,0.0,0,foster_rahmstorf,,,,,,,
2023,1.17,0.9976886053134951,0.9976886053134951,0.0,0,foster_rahmstorf,,,,,,,
2024,1.28,1.0337822397409733,1.0337822397409733,0.0,0,foster_rahmstorf,,,,,,,
2025,1.19,1.0258172534465169,1.0258172534465169,0.0,0,foster_rahmstorf,,,,,,,
2011,0.61,0.6345162516188129,0.6442327283691363,-0.009716476750323397,1,fr_ar1,,,,,,,
2012,0.64,0.7297084237198014,0.7243367198176813,0.005371703902120063,1,fr_ar1,,,,,,,
2013,0.67,0.7425662326949959,0.7317781718673612,0.010788060827634716,1,fr_ar1,,,,,,,
2014,0.75,0.7705010866150103,0.7638228036805678,0.006678282934442463,1,fr_ar1,,,,,,,
2015,0.89,0.8356670707539748,0.833247010783887,0.002420059970087848,1,fr_ar1,,,,,,,
2016,1.01,0.7939964929261045,0.7968616194343463,-0.0028651265082418054,1,fr_ar1,,,,,,,
2017,0.91,0.7611317290886331,0.7730079569810404,-0.011876227892407252,1,fr_ar1,,,,,,,
2018,0.85,0.8274937072572057,0.8182834687780719,0.009210238479133808,1,fr_ar1,,,,,,,
2019,0.98,0.8808058023413687,0.8778600502346691,0.002945752106699709,1,fr_ar1,,,,,,,
2020,1.01,0.8530317750837586,0.8446117207987331,0.008420054285025465,1,fr_ar1,,,,,,,
2021,0.85,0.876007668016453,0.8523852197243438,0.023622448292109195,1,fr_ar1,,,,,,,
2022,0.89,0.8585620491288728,0.858684188792371,-0.00012213966349813155,1,fr_ar1,,,,,,,
2023,1.17,1.0015075807728588,0.9976886053134951,0.0038189754593637936,1,fr_ar1,,,,,,,
2024,1.28,1.0562614695124235,1.0337822397409733,0.02247922977145018,1,fr_ar1,,,,,,,
2025,1.19,1.0787648664675873,1.0258172534465169,0.05294761302107034,1,fr_ar1,,,,,,,
2011,0.61,0.6320007193286173,0.6442327283691363,-0.01223200904051887,2,fr_ar2,,,,,,,
2012,0.64,0.7184319309144146,0.7243367198176813,-0.005904788903266783,2,fr_ar2,,,,,,,
2013,0.67,0.7461338734385492,0.7317781718673612,0.014355701571188078,2,fr_ar2,,,,,,,
2014,0.75,0.7800391099072601,0.7638228036805678,0.016216306226692383,2,fr_ar2,,,,,,,
2015,0.89,0.8420009251336258,0.833247010783887,0.008753914349738833,2,fr_ar2,,,,,,,
2016,1.01,0.795517340272778,0.7968616194343463,-0.0013442791615683658,2,fr_ar2,,,,,,,
2017,0.91,0.7574629613398078,0.7730079569810404,-0.01554499564123262,2,fr_ar2,,,,,,,
2018,0.85,0.8066599911819023,0.8182834687780719,-0.011623477596169593,2,fr_ar2,,,,,,,
2019,0.98,0.8705253351832781,0.8778600502346691,-0.007334715051390951,2,fr_ar2,,,,,,,
2020,1.01,0.8514979399417054,0.8446117207987331,0.006886219142972326,2,fr_ar2,,,,,,,
2021,0.85,0.8733353613870724,0.8523852197243438,0.020950141662728527,2,fr_ar2,,,,,,,
2022,0.89,0.8535906444443098,0.858684188792371,-0.005093544348061203,2,fr_ar2,,,,,,,
2023,1.17,0.999821767448628,0.9976886053134951,0.002133162135132893,2,fr_ar2,,,,,,,
2024,1.28,1.0546982847322979,1.0337822397409733,0.02091604499132458,2,fr_ar2,,,,,,,
2025,1.19,1.0763570505319249,1.0258172534465169,0.05053979708540793,2,fr_ar2,,,,,,,
2011,0.61,0.6223490509173967,0.6442327283691363,-0.021883677451739553,3,fr_ar3,,,,,,,
2012,0.64,0.7203913037893589,0.7243367198176813,-0.003945416028322473,3,fr_ar3,,,,,,,
2013,0.67,0.7519847670206088,0.7317781718673612,0.020206595153247582,3,fr_ar3,,,,,,,
2014,0.75,0.773074396956504,0.7638228036805678,0.009251593275936248,3,fr_ar3,,,,,,,
2015,0.89,0.8322461363417887,0.833247010783887,-0.0010008744420982583,3,fr_ar3,,,,,,,
2016,1.01,0.7877437981609529,0.7968616194343463,-0.009117821273393433,3,fr_ar3,,,,,,,
2017,0.91,0.7467053985564115,0.7730079569810404,-0.026302558424628922,3,fr_ar3,,,,,,,
2018,0.85,0.7994247663881762,0.8182834687780719,-0.018858702389895756,3,fr_ar3,,,,,,,
2019,0.98,0.8639525840086534,0.8778600502346691,-0.013907466226015722,3,fr_ar3,,,,,,,
2020,1.01,0.8518972504723882,0.8446117207987331,0.007285529673654997,3,fr_ar3,,,,,,,
2021,0.85,0.8631252524183487,0.8523852197243438,0.010740032694004972,3,fr_ar3,,,,,,,
2022,0.89,0.859854354366344,0.858684188792371,0.001170165573973066,3,fr_ar3,,,,,,,
2023,1.17,1.015301552218299,0.9976886053134951,0.01761294690480396,3,fr_ar3,,,,,,,
2024,1.28,1.041055506346307,1.0337822397409733,0.00727326660533375,3,fr_ar3,,,,,,,
2025,1.19,1.0596050055939845,1.0258172534465169,0.03378775214746775,3,fr_ar3,,,,,,,
2011,0.61,0.6631683434777615,0.6631683434777615,0.0,0,fr_statsmodels_lag_search,2.0,0.0,3.0,0.8791440106232447,-69.25976523496959,22.828312926235817,0.11907945146792608
2012,0.64,0.7365031502647329,0.7365031502647329,0.0,0,fr_statsmodels_lag_search,2.0,0.0,3.0,0.8810011579248079,-72.38947837709955,23.590332212017874,0.1196049272959112
2013,0.67,0.7737808596255713,0.7737808596255713,0.0,0,fr_statsmodels_lag_search,2.0,0.0,3.0,0.878312404784694,-74.0890477188296,23.802233819140902,0.13134074433194218
2014,0.75,0.7321068323006206,0.7321068323006206,0.0,0,fr_statsmodels_lag_search,1.0,1.0,3.0,0.8808269831461949,-76.82164163032766,41.68625239635076,-0.13145263982553218
2015,0.89,0.7734930169276891,0.7734930169276891,0.0,0,fr_statsmodels_lag_search,1.0,1.0,3.0,0.8901402003219191,-80.47599514084074,43.389711566132135,-0.13600930482814505
2016,1.01,0.891464606583373,0.891464606583373,0.0,0,fr_statsmodels_lag_search,1.0,1.0,3.0,0.8967474661472017,-81.19375457818174,42.654784779804054,-0.11290599542697169
2017,0.91,0.8758929067536981,0.8758929067536981,0.0,0,fr_statsmodels_lag_search,1.0,1.0,3.0,0.9088870599451434,-82.36459782146082,37.23183923190862,-0.03089827499398212
2018,0.85,0.8205503556024902,0.8205503556024902,0.0,0,fr_statsmodels_lag_search,1.0,1.0,3.0,0.9174483491666162,-85.77593104789202,36.9210669369741,-0.012631012897413961
2019,0.98,0.8530337560577071,0.8530337560577071,0.0,0,fr_statsmodels_lag_search,1.0,1.0,3.0,0.922400132332774,-89.2586056065592,37.39311148859114,-0.005284245822295346
